Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.996874599950388,30.996874599950388,space,1.3252015000907704,,,,,,,,,,,,,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,0,0,37,,,,,1.5300000086426735e-05,1.5300000086426735e-05,33.34074759995565,33.34074759995565,34.340638099994976,34.340638099994976,0,,,42.592592592592595,1.7024577999836765,1.2499978765845299e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,1,1,49,,,,,,,38.043484599969815,38.043484599969815,39.04115979996277,39.04115979996277,1,[0.0004189999890513718],[0.9971901999670081],8.240740740740742,0.49991539999609813,1.3499986380338669e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,2,2,75,,,,,,,41.77629739994882,41.77629739994882,42.776260799961165,42.776260799961165,2,"[0.00038819998735561967, 0.5129871999961324]","[0.446216199954506, 0.9965208999929018]",9.537037037037038,0.9687314999755472,1.3399985618889332e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c33.jpeg,matched-8-cpi-low-c33.jpeg,0,3,3,68,,,,,,,45.62616329995217,45.62616329995217,46.62661969999317,46.62661969999317,1,[0.00048099999548867345],[0.9964905999950133],11.388888888888888,0.8663205999764614,1.3699987903237343e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c43.jpeg,matched-32-cpi-low-c43.jpeg,0,4,4,81,,,,,,,49.40942089998862,49.40942089998862,50.40931550000096,50.40931550000096,2,"[0.00047500000800937414, 0.7635393000091426]","[0.6634311000234447, 0.9966429999913089]",4.814814814814817,0.7478271999862045,1.479999627918005e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,5,5,57,,,,,,,53.30939919996308,53.30939919996308,54.3071652999497,54.3071652999497,1,[0.0004459000192582607],[0.9971067000296898],8.611111111111114,0.8994245999492705,1.2400036212056875e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,6,6,82,,,,,,,57.12597499997355,57.12597499997355,,,1,[0.00040009996155276895],[0.9947646000073291],5.7407407407407405,0.681284999998752,1.4699995517730713e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,7,7,43,,,,,,,60.909128699975554,60.909128699975554,,,1,[0.01140979997580871],[1.0112726999795996],61.29629629629629,0.500026700028684,1.2699980288743973e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,8,8,19,,,,,,,64.2405181999784,64.2405181999784,65.24030919995857,65.24030919995857,1,[0.014965600043069571],[1.0147516000433825],48.14814814814815,0.6139835000503808,1.3200042303651571e-05,,,TEP,001,2023-05-06_17h38.31.067,trial uncanny,2022.2.5,59.9654119453125,
