Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,14,14,4,,,,,,,79.85235270002158,79.85235270002158,1,[0.01187069999286905],[1.0135751999914646],35.0,2.5021439000265673,1.209997572004795e-05,80.85029520001262,80.85029520001262,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,15,15,32,,,,,,,85.23560850002104,85.23560850002104,1,[0.00041040003998205066],[0.996903499995824],61.57407407407407,0.7145247999578714,1.2999982573091984e-05,86.23347500001546,86.23347500001546,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c71.jpeg,matched-8-cpi-low-c71.jpeg,0,16,16,24,,,,,,,88.83545980002964,88.83545980002964,3,"[0.0004790000384673476, 0.2804891000268981, 0.4139727000147104]","[0.21188980003353208, 0.31369049998465925, 0.9788962000166066]",81.57407407407408,0.43150250002508983,1.7099955584853888e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,17,17,88,,,,,,,92.05208639998455,92.05208639998455,1,[0.00040259998058900237],[0.994346699968446],7.500000000000001,0.4331106999889016,1.3700046110898256e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,18,18,28,,,,,,,95.48546489997534,95.48546489997534,1,[0.0004647999885492027],[0.9965627000201494],65.55555555555556,0.7995029999874532,1.2599979527294636e-05,96.48513580003055,96.48513580003055,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,19,19,3,,,,,,,99.0550417000195,99.0550417000195,1,[0.0004007000243291259],[1.0098647000268102],66.75925925925927,0.8643911000108346,1.2100033927708864e-05,100.0686123999767,100.0686123999767,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,20,20,16,,,,,,,102.68515520001529,102.68515520001529,1,[0.0004070000140927732],[0.9964881000341848],23.24074074074074,0.4490473999758251,1.3399985618889332e-05,103.6850596999866,103.6850596999866,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,21,21,17,,,,,,,105.95175359997666,105.95175359997666,1,[0.0006292000180110335],[0.9961938000051305],25.092592592592588,0.36668099998496473,1.3399985618889332e-05,106.94970070000272,106.94970070000272,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,22,22,89,,,,,,,109.16834299999755,109.16834299999755,1,[0.00041609996696934104],[0.9964581999811344],2.962962962962962,0.38128460000734776,1.2000033166259527e-05,110.1663486000034,110.1663486000034,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,23,23,46,,,,,,,112.63496799999848,112.63496799999848,1,[0.0003766000154428184],[0.9945607000263408],3.888888888888886,0.5200470999698155,1.5400000847876072e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,24,24,64,,,,,,,115.98483560001478,115.98483560001478,1,[0.0004482999793253839],[0.9971703999908641],2.962962962962962,0.6822832000325434,1.479999627918005e-05,116.98257300001569,116.98257300001569,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,25,25,61,,,,,,,119.58488179999404,119.58488179999404,1,[0.00033139996230602264],[0.9972287999698892],2.592592592592591,1.0523104000021704,2.0899984519928694e-05,120.58271689998219,120.58271689998219,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,26,26,84,,,,,,,123.5210769000114,123.5210769000114,1,[0.0004298000130802393],[1.0084725999622606],12.962962962962965,0.5683414000086486,1.2000033166259527e-05,124.53251400002046,124.53251400002046,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,27,27,6,,,,,,,126.91793569998117,126.91793569998117,1,[0.0003752000047825277],[0.9968896000063978],52.03703703703704,1.2828806000179611,1.610000617802143e-05,127.91787649999605,127.91787649999605,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,28,28,58,,,,,,,131.47083760000532,131.47083760000532,2,"[0.0005248000379651785, 0.4103367000352591]","[0.37722750002285466, 1.0105309000355192]",9.35185185185185,0.5667096999823116,1.2499978765845299e-05,132.48253360000672,132.48253360000672,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg,0,29,29,87,,,,,,,134.88441569998395,134.88441569998395,1,[0.013885800028219819],[1.011852000025101],5.0925925925925934,1.6524288999498822,1.2700038496404886e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c37.jpeg,matched-32-cpi-low-c37.jpeg,0,30,30,86,,,,,,,139.50397060002433,139.50397060002433,1,[0.0006083999760448933],[1.0087779999594204],2.870370370370373,0.582980300008785,1.2299977242946625e-05,140.51774410001235,140.51774410001235,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,31,31,69,,,,,,,143.20091449999018,143.20091449999018,1,[0.013702700030989945],[1.0134197000297718],3.888888888888886,0.6662845000391826,1.3199984095990658e-05,144.20070210000267,144.20070210000267,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c72.jpeg,matched-32-cpi-low-c72.jpeg,0,32,32,40,,,,,,,146.71744999999646,146.71744999999646,1,[0.015570000046864152],[1.015626800013706],59.62962962962963,0.5993860000162385,1.1999974958598614e-05,147.7173955999897,147.7173955999897,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c35.jpeg,matched-c35.jpeg,0,33,33,54,,,,,,,150.10085500002606,150.10085500002606,1,[0.0005321999778971076],[0.9912860000040382],5.7407407407407405,0.7367009000154212,1.2299977242946625e-05,,,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,34,34,66,,,,,,,153.9370824000216,153.9370824000216,1,[0.0006047000060789287],[1.0108412000117823],5.462962962962964,0.5305397999472916,1.1999974958598614e-05,154.9507397999987,154.9507397999987,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,35,35,75,,,,,,,157.2650905000046,157.2650905000046,1,[0.00039950001519173384],[0.996311999973841],4.629629629629628,0.44922319997567683,1.2800039257854223e-05,158.26523479999742,158.26523479999742,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,36,36,48,,,,,,,160.53383229998872,160.53383229998872,1,[0.0003983000060543418],[0.9964588000439107],1.5740740740740722,0.6487265000469051,1.2700038496404886e-05,161.53404130000854,161.53404130000854,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,37,37,56,,,,,,,164.09829380002338,164.09829380002338,1,[0.02808249997906387],[1.011501999979373],8.148148148148149,0.6679352999781258,1.309998333454132e-05,165.09851799998432,165.09851799998432,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,38,38,29,,,,,,,167.6003386999946,167.6003386999946,1,[0.013939499971456826],[1.0135500999749638],90.0,0.5662403999594972,1.2800039257854223e-05,168.60018780000973,168.60018780000973,,,VAG,001,2023-05-06_18h26.28.753,trial uncanny,2022.2.5,59.286346529918546,
