Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.419358399987686,19.419358399987686,space,1.9757768000126816,,,,,,,,,,,,,,,,,,,,,,,,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,0,0,30,,,,,1.4899997040629387e-05,1.4899997040629387e-05,22.420929099986097,22.420929099986097,0,,,23.434583899972495,23.434583899972495,28.74844519997714,5.329596900002798,-10.18518518518519,5.29645029999665,[0.3925925925925926],[-0.41944444444444445],[1],[0],[0],[2.9690688000118826],['image'],1.37000170070678e-05,,,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,1,1,36,,,,,,,33.21864509998704,33.21864509998704,0,,,34.21852109997417,34.21852109997417,37.933058299997356,3.7103561999974772,26.111111111111114,3.697917100013001,[0.38796296296296295],[-0.4185185185185185],[1],[0],[0],[1.1350590999936685],['image'],1.3699987903237343e-05,34.21852109997417,34.21852109997417,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,2,2,44,,,,,,,40.5509708999889,40.5509708999889,0,,,41.55172109999694,41.55172109999694,44.60175529998378,3.034362799982773,-39.81481481481482,3.0326050000148825,[0.44537037037037036],[-0.43148148148148147],[1],[0],[0],[1.2306612000102177],['image'],1.300001167692244e-05,41.55172109999694,41.55172109999694,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,3,3,39,,,,,,,47.31619799998589,47.31619799998589,0,,,48.31817269997555,48.31817269997555,50.749702599976445,2.4151347000151873,17.037037037037024,2.4139174000010826,[0.3907407407407407],[-0.44814814814814813],[1],[0],[0],[0.7191289000038523],['image'],1.3899989426136017e-05,48.31817269997555,48.31817269997555,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,4,4,35,,,,,,,52.96822779998183,52.96822779998183,0,,,53.98261109998566,53.98261109998566,55.56822159999865,1.5983688999840524,15.925925925925924,1.5695234999875538,[0.43703703703703706],[-0.4444444444444444],[1],[0],[0],[0.8981451999861747],['image'],1.6400008462369442e-05,,,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,5,5,3,,,,,,,57.9661290999793,57.9661290999793,0,,,58.96818099997472,58.96818099997472,61.1657938999997,2.197772300016368,-56.481481481481474,2.9657931000110693,"[-0.21666666666666667, 0.4759259259259259]","[-0.09166666666666666, -0.4222222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.38552640000125393, 1.4997234999900684]",['image'],1.3899989426136017e-05,58.96818099997472,58.96818099997472,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,6,6,1,,,,,,,64.1487458999909,64.1487458999909,0,,,65.15126539999619,65.15126539999619,67.43250059999991,2.265138599992497,-43.51851851851851,2.263913100003265,[0.39537037037037037],[-0.4027777777777778],[1],[0],[0],[0.7523838999914005],['image'],1.2100004823878407e-05,65.15126539999619,65.15126539999619,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,7,7,40,,,,,,,69.6845450999972,69.6845450999972,0,,,70.69879189998028,70.69879189998028,72.80120389998774,2.111230600014096,47.22222222222223,2.085790300014196,[0.4166666666666667],[-0.45185185185185184],[1],[0],[0],[1.0517496999818832],['image'],1.3899989426136017e-05,,,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,8,8,41,,,,,,,75.33446849999018,75.33446849999018,0,,,76.33430329998373,76.33430329998373,77.38209959998494,1.0314737999869976,-18.33333333333333,2.031082100002095,"[-0.09166666666666666, 0.41574074074074074]","[-0.09722222222222222, -0.45555555555555555]","[1, 1]","[0, 0]","[0, 0]","[0.9335436999972444, 2.4337440000090282]",['image'],1.4599994756281376e-05,76.33430329998373,76.33430329998373,,,DAP,001,2023-04-17_21h40.03.735,Human_uncanny,2022.2.5,60.146179270370894,
