Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.617498499996145,21.617498499996145,space,0.8928677999938373,,,,,,,,,,,,,,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,0,0,23,,,,,1.4699995517730713e-05,1.4699995517730713e-05,23.532421399999293,23.532421399999293,24.531595599997672,24.531595599997672,1,[0.0006216999900061637],[0.990043700003298],26.46413500000199,54.53703703703704,2.5475583000079496,1.2999997125007212e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,1,1,5,,,,,,,29.016281300006085,29.016281300006085,,,2,"[0.012996000004932284, 0.743996999997762]","[0.5630984000017634, 0.8274024999991525]",30.864034099999117,22.129629629629626,4.119158800007426,1.2500007869675756e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,2,2,12,,,,,,,36.216099700002815,36.216099700002815,,,5,"[0.013579999998910353, 0.297140099995886, 0.3798525000020163, 0.4132878999953391, 0.5944515000010142]","[0.2133406999928411, 0.3467876999930013, 0.3966493000043556, 0.5780501999979606, 1.0095839999994496]",37.88069400000677,7.685185185185183,1.8863558000011835,1.4000004739500582e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,3,3,7,,,,,,,41.08264439999766,41.08264439999766,,,1,[0.013379799987887964],[0.9985099999903468],42.58041740000772,56.018518518518526,0.731599599996116,1.2800010154023767e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,4,4,30,,,,,,,44.73261010000715,44.73261010000715,45.730499500001315,45.730499500001315,2,"[0.00045649999810848385, 0.630190700001549]","[0.4469290999986697, 0.9472795999899972]",46.780533600001945,38.05555555555556,2.7472766999999294,1.2799995602108538e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,5,5,44,,,,,,,50.34918970000581,50.34918970000581,51.349062699999195,51.349062699999195,4,"[0.000414699999964796, 0.563421600003494, 0.5966775999986567, 0.8134516999998596]","[0.5467911000014283, 0.5802170999959344, 0.7634211999975378, 0.8472687000030419]",51.845047599999816,21.48148148148148,0.478727900001104,1.340000017080456e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,6,6,31,,,,,,,53.89913360000355,53.89913360000355,54.89918930000567,54.89918930000567,3,"[0.0004118999931961298, 0.5139370999968378, 0.547144299998763]","[0.4476613000006182, 0.530592399998568, 0.9972242999938317]",55.563469800006715,52.59259259259259,0.6479271999996854,1.3900003978051245e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,7,7,41,,,,,,,57.415735899994615,57.415735899994615,58.41552650000085,58.41552650000085,1,[0.00045939999108668417],[0.9958850999973947],59.296706399996765,61.48148148148148,0.8645549999928335,1.4300007023848593e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,8,8,8,,,,,,,61.33234029999585,61.33234029999585,62.34492269999464,62.34492269999464,1,[0.000673700007610023],[1.0115645000041695],71.64670320000732,58.05555555555556,9.28244550000818,1.2999997125007212e-05,,,UTS,001,2023-04-16_22h30.48.165,Human_uncanny,2022.2.5,60.02545079276426,
