Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,14,14,37,,,,,,,77.60799380001845,77.60799380001845,1,[0.00042130000656470656],[0.9965817999909632],79.70790400000988,85.74074074074073,1.0831369000370614,1.3000040780752897e-05,78.60817860002862,78.60817860002862,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,15,15,22,,,,,,,81.42462130001513,81.42462130001513,2,"[0.013000599981751293, 0.9963197999750264]","[0.9631769999978133, 1.011184000002686]",82.8911972999922,89.53703703703704,0.43158149998635054,1.3499986380338669e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,16,16,31,,,,,,,84.60585799999535,84.60585799999535,1,[0.013211999961640686],[1.0133119999663904],86.07252730004257,91.85185185185185,0.44977629999630153,1.3199984095990658e-05,85.6078925000038,85.6078925000038,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,17,17,12,,,,,,,87.79123000003165,87.79123000003165,1,[0.00037029996747151017],[0.9951350999763235],89.40775380004197,43.611111111111114,0.580973099975381,1.390004763379693e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,18,18,0,,,,,,,91.19100759999128,91.19100759999128,1,[0.0003806999884545803],[0.9972827999736182],93.06075190001866,92.5925925925926,0.8520865000318736,1.3699987903237343e-05,92.19102379999822,92.19102379999822,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,19,19,5,,,,,,,94.80767680000281,94.80767680000281,1,[0.0005712999845854938],[0.9937391999992542],96.30755460000364,90.92592592592592,0.48269199999049306,1.3999990187585354e-05,95.80773140001111,95.80773140001111,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,20,20,4,,,,,,,98.10758710000664,98.10758710000664,1,[0.01290920004248619],[1.012883800023701],100.40745300002163,72.77777777777777,1.2826258999994025,1.2499978765845299e-05,99.10743360000197,99.10743360000197,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,21,21,35,,,,,,,102.19379230000777,102.19379230000777,1,[0.00035099999513477087],[1.0103547999751754],104.03871829999844,89.90740740740742,0.8163402000209317,1.360004534944892e-05,103.20742540003266,103.20742540003266,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,22,22,42,,,,,,,105.82411530002719,105.82411530002719,1,[0.0005105999880470335],[0.9970699000405148],107.47708209999837,91.85185185185185,0.6360493000247516,1.3699987903237343e-05,106.82202080002753,106.82202080002753,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,23,23,1,,,,,,,109.20729400002165,109.20729400002165,1,[0.013409600011073053],[1.0133911999873817],111.3740991000086,39.53703703703704,2.7326415999559686,1.2399978004395962e-05,110.20736410003155,110.20736410003155,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
