Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.953704599989578,27.953704599989578,space,1.1211906999815255,,,,,,,,,,,,,,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,0,0,34,,,,,1.3999990187585354e-05,1.3999990187585354e-05,30.097411199996714,30.097411199996714,31.09763059997931,31.09763059997931,1,[0.0006815000087954104],[0.9911337000085041],32.519369399989955,95.64814814814815,1.4026601000223309,1.1500029359012842e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,1,1,37,,,,,,,34.66934079997009,34.66934079997009,35.680718199990224,35.680718199990224,1,[0.00040660001104697585],[1.0084359000320546],36.416281699959654,96.01851851851852,0.7182578999781981,1.3199984095990658e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,2,2,5,,,,,,,38.199591299984604,38.199591299984604,,,1,[0.01296549994731322],[1.0107177999452688],40.685794199991506,37.129629629629626,1.4530788999982178,1.6300007700920105e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,3,3,29,,,,,,,42.797371199994814,42.797371199994814,43.79732359998161,43.79732359998161,2,"[0.01340389996767044, 0.5132211999734864]","[0.47989630000665784, 1.013329099980183]",44.413904599961825,91.11111111111111,0.5978643000125885,1.6900012269616127e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,4,4,1,,,,,,,46.21418959996663,46.21418959996663,47.21395529998699,47.21395529998699,1,[0.00043159996857866645],[0.9958134000189602],47.69972749997396,70.92592592592592,0.46628120000241324,1.2499978765845299e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,5,5,15,,,,,,,49.48256459995173,49.48256459995173,50.48059309995733,50.48059309995733,1,[0.00047800003085285425],[0.9972357000224292],51.08285059995251,80.27777777777779,0.5806579999625683,1.3399985618889332e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,6,6,42,,,,,,,52.849334199971054,52.849334199971054,53.84692189999623,53.84692189999623,1,[0.00036800000816583633],[0.9961127999704331],54.48246549995383,95.74074074074075,0.613478200044483,1.3100041542202234e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,7,7,23,,,,,,,56.26387979998253,56.26387979998253,57.268540899967775,57.268540899967775,1,[0.0003651999868452549],[0.9967876999871805],57.813652999990154,94.16666666666667,0.5300258999923244,1.2100033927708864e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,8,8,8,,,,,,,59.54902419995051,59.54902419995051,60.54897549998714,60.54897549998714,1,[0.00045270001282915473],[0.9992621000274085],61.68231859995285,54.629629629629626,1.1161651999573223,1.309998333454132e-05,,,TEP,001,2023-05-06_17h17.22.174,Human_uncanny,2022.2.5,59.25479976931565,
