Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,14,14,20,,,,,,,118.47237200010568,118.47237200010568,1,[0.008685600012540817],[0.9942351998761296],-19.629629629629633,0.7668266999535263,1.309998333454132e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,15,15,44,,,,,,,122.09095420013182,122.09095420013182,1,[0.0003929000813513994],[0.9918747001793236],8.518518518518519,0.8638979999814183,1.4099990949034691e-05,123.09105210006237,123.09105210006237,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,16,16,58,,,,,,,125.87229650001973,125.87229650001973,1,[0.011290299938991666],[0.9974722000770271],9.074074074074076,1.2784845000132918,1.2600095942616463e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,17,17,0,,,,,,,130.0407476001419,130.0407476001419,1,[0.00041479989886283875],[0.9900597999803722],-58.333333333333336,0.6523869000375271,1.3199867680668831e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,18,18,64,,,,,,,133.80527390004136,133.80527390004136,1,[0.00040220003575086594],[0.9951174999587238],-22.962962962962962,0.44468139996752143,1.3499986380338669e-05,134.80515000014566,134.80515000014566,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,19,19,45,,,,,,,137.08864279999398,137.08864279999398,1,[0.00039119995199143887],[0.9907779998611659],-10.740740740740733,0.7000547000207007,1.5900004655122757e-05,138.09084900002927,138.09084900002927,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,20,20,32,,,,,,,140.65483960020356,140.65483960020356,1,[0.0087892001029104],[1.0090620999690145],-43.148148148148145,0.6822748999111354,1.4199875295162201e-05,141.65489410003647,141.65489410003647,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,21,21,19,,,,,,,144.20513830007985,144.20513830007985,1,[0.009860799880698323],[1.011370399966836],-24.444444444444443,0.947946600150317,1.3299984857439995e-05,145.20507230004296,145.20507230004296,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,22,22,33,,,,,,,148.0405894999858,148.0405894999858,1,[0.008590899873524904],[1.0084238999988884],-31.29629629629629,0.5659813000820577,1.2600095942616463e-05,149.0384664000012,149.0384664000012,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,23,23,61,,,,,,,151.53821450006217,151.53821450006217,1,[0.00042869988828897476],[0.9747220000717789],-32.96296296296296,0.6281004999764264,1.750001683831215e-05,,,,,P13,001,2023-04-14_15h40.30.713,trial uncanny,2022.2.5,59.25016544406894,
