,File_Name,Type,Spatial_Freq,Likability,Mechano_Humanness
26,matched-8-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-61.48148148148148, -37.77777777777778, -54.07407407407408, 54.25925925925927]","[64.90740740740742, 37.87037037037037, 44.25925925925926, 92.5925925925926]"
27,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-31.111111111111114, 12.037037037037052, 71.29629629629628, 49.44444444444446]","[68.05555555555556, 43.61111111111112, 89.72222222222221, 91.11111111111111]"
28,matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-40.74074074074075, -30.370370370370367, -40.74074074074075, 55.74074074074073]","[67.5925925925926, 56.018518518518526, 55.37037037037037, 78.51851851851852]"
29,matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,Human,LSF,"[-61.85185185185185, -80.18518518518519, 28.70370370370369, 30.37037037037038]","[64.16666666666666, 54.629629629629626, 56.57407407407408, 28.88888888888889]"
30,matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,Human,LSF,"[-79.81481481481481, -26.111111111111114, -57.77777777777777, 86.66666666666666]","[66.48148148148148, 74.44444444444444, 69.9074074074074, 94.44444444444444]"
31,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,Human,HSF,"[-63.70370370370371, -15.925925925925924, 68.88888888888889, 67.22222222222223]","[70.46296296296296, 65.0925925925926, 79.62962962962963, 86.66666666666667]"
32,matched-8-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-47.40740740740741, -40.74074074074075, -71.66666666666667, -44.25925925925927]","[66.94444444444446, 22.129629629629623, 90.92592592592592, 37.129629629629626]"
33,matched-Rafd090_30_Caucasian_male_neutral_frontal.jpg,Human,BSF,"[32.59259259259261, 14.259259259259268, -37.77777777777778, 50.37037037037035]","[81.66666666666667, 94.35185185185183, 98.24074074074072, 83.33333333333333]"
34,matched-8-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,Human,LSF,"[-58.88888888888889, -24.25925925925925, 24.814814814814824, 60.0]","[79.16666666666667, 63.33333333333333, 69.07407407407408, 42.5]"
35,matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,Human,HSF,"[-34.44444444444444, -12.222222222222229, -35.18518518518519, 42.40740740740739]","[67.12962962962963, 60.64814814814815, 81.0185185185185, 86.48148148148148]"
36,matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-27.592592592592595, -20.370370370370367, 72.77777777777777, 76.4814814814815]","[76.75925925925927, 60.27777777777777, 92.22222222222224, 89.25925925925927]"
37,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-26.666666666666657, -74.25925925925927, 7.407407407407391, 71.85185185185185]","[84.62962962962963, 70.55555555555554, 89.53703703703704, 92.22222222222224]"
38,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-37.03703703703704, -66.4814814814815, -10.925925925925924, 41.666666666666686]","[75.18518518518518, 73.42592592592592, 47.03703703703704, 96.38888888888889]"
39,matched-32-cpi-low-Rafd090_22_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-27.22222222222221, -32.407407407407405, 71.48148148148147, 54.81481481481484]","[78.98148148148148, 60.18518518518518, 86.85185185185185, 88.70370370370371]"
40,matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,Human,HSF,"[-30.740740740740733, -24.81481481481481, 72.40740740740742, 59.44444444444446]","[71.57407407407408, 55.55555555555556, 42.5, 93.05555555555556]"
41,matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-61.66666666666667, -25.185185185185176, 57.03703703703704, 50.37037037037035]","[67.87037037037037, 71.38888888888889, 72.59259259259258, 93.9814814814815]"
42,matched-8-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,Human,LSF,"[-68.88888888888889, 9.81481481481481, -45.37037037037037, -49.25925925925926]","[63.24074074074074, 70.0925925925926, 39.53703703703704, 70.92592592592592]"
