Type,Spatial_Frequency,filepath,file_name
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c36.jpeg,matched-c36.jpeg
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c12.jpeg,matched-8-cpi-low-c12.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c33.jpeg,matched-8-cpi-low-c33.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c12.jpeg,matched-32-cpi-low-c12.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c43.jpeg,matched-32-cpi-low-c43.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c36.jpeg,matched-32-cpi-low-c36.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c37.jpeg,matched-32-cpi-low-c37.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg
