Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,26.943636999989394,26.943636999989394,space,2.6215136000537314,,,,,,,,,,,,,,,,,,,,,,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,0,0,24,,,,,1.279998105019331e-05,1.279998105019331e-05,30.587351599999238,30.587351599999238,1,[0.0006425000028684735],[0.9766285999794491],31.588211699970998,31.588211699970998,32.85181129997363,1.2634191999677569,42.40740740740739,1.2481117999996059,[0.4638888888888889],[-0.3787037037037037],[1],[0],[0],[0.4667935000034049],['image'],1.360004534944892e-05,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,1,1,17,,,,,,,34.820631099981256,34.820631099981256,1,[0.00040229997830465436],[0.9968369000125676],35.81851519999327,35.81851519999327,36.65171469998313,0.8310421000351198,41.666666666666686,0.8161461999989115,[0.4083333333333333],[-0.41759259259259257],[1],[0],[0],[0.48578799999086186],['image'],1.3299984857439995e-05,35.81851519999327,35.81851519999327,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,2,2,19,,,,,,,38.63737199996831,38.63737199996831,1,[0.010847600002307445],[1.0112047999864444],39.65168349997839,39.65168349997839,40.30387369997334,0.6629980999859981,59.44444444444446,0.6334341000183485,[0.4888888888888889],[-0.47685185185185186],[1],[0],[0],[0.3187813999829814],['image'],1.2500036973506212e-05,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,3,3,3,,,,,,,42.106745400000364,42.106745400000364,1,[0.0004937000339850783],[1.0086411000229418],43.11833969998406,43.11833969998406,44.2233353999909,1.1015207000309601,-42.03703703703704,1.087286599969957,[0.44166666666666665],[-0.4388888888888889],[1],[0],[0],[0.3617292999988422],['image'],1.4499993994832039e-05,43.11833969998406,43.11833969998406,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,4,4,10,,,,,,,46.0733853999991,46.0733853999991,1,[0.0003456000122241676],[0.9946055000182241],47.08490560000064,47.08490560000064,47.51826989999972,0.4314913999987766,50.37037037037035,0.4145031000371091,[0.48703703703703705],[-0.43333333333333335],[1],[0],[0],[0.6723538000369444],['image'],1.2199976481497288e-05,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,5,5,12,,,,,,,49.68698299996322,49.68698299996322,1,[0.0006787000456824899],[0.9948495000135154],50.70669219997944,50.70669219997944,51.486952299950644,0.7932941999752074,54.25925925925927,0.767180799972266,[0.5055555555555555],[-0.41203703703703703],[1],[0],[0],[0.4666818000259809],['image'],1.880002673715353e-05,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,6,6,0,,,,,,,53.43687039997894,53.43687039997894,1,[0.0005951999919489026],[0.9948822999722324],54.45148219994735,54.45148219994735,55.18697149999207,0.7315917999949306,70.18518518518516,0.7149168999749236,[0.46574074074074073],[-0.41944444444444445],[1],[0],[0],[0.35251339996466413],['image'],1.3500044587999582e-05,,,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,7,7,25,,,,,,,57.03677159996005,57.03677159996005,1,[0.013040899997577071],[1.0130662000156008],58.03466689999914,58.03466689999914,58.60335629998008,0.5647395000560209,74.44444444444446,0.5472693999763578,[0.5222222222222223],[-0.44537037037037036],[1],[0],[0],[0.3197976999799721],['image'],1.3000040780752897e-05,58.03466689999914,58.03466689999914,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,8,8,21,,,,,,,60.420371199958026,60.420371199958026,1,[0.013377199997194111],[1.013329799985513],61.41789169999538,61.41789169999538,62.236992999969516,0.8101479000179097,67.22222222222223,0.7994447999517433,[0.47685185185185186],[-0.4101851851851852],[1],[0],[0],[0.3173386999987997],['image'],1.3199984095990658e-05,61.41789169999538,61.41789169999538,,,TEP,001,2023-05-06_17h11.32.302,Human_uncanny,2022.2.5,60.084165896955135,
