Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.285993800032884,30.285993800032884,space,5.598642600001767,,,,,,,,,,,,,,,,,,,,,,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,0,0,43,,,,,1.379998866468668e-05,1.379998866468668e-05,36.917348799994215,36.917348799994215,1,[0.0005784999812021852],[0.9873153999797069],37.92977719998453,37.92977719998453,40.332038299995475,2.4150050000171177,72.59259259259258,2.3814420999842696,[0.4444444444444444],[-0.38796296296296295],[1],[0],[0],[0.2984207000117749],['image'],1.3999990187585354e-05,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,1,1,35,,,,,,,42.131973000010476,42.131973000010476,1,[0.0005774000310339034],[0.9801989000407048],43.135186700033955,43.135186700033955,43.713740599981975,0.5832242000033148,51.66666666666666,0.5617889999994077,[0.46574074074074073],[-0.387037037037037],[1],[0],[0],[0.21571149997180328],['image'],1.4599994756281376e-05,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,2,2,32,,,,,,,45.4322331000003,45.4322331000003,1,[0.013464299961924553],[1.0132570999558084],46.4319167000358,46.4319167000358,47.218660500016995,0.786163300042972,79.44444444444443,0.7692752999719232,[0.4601851851851852],[-0.45740740740740743],[1],[0],[0],[0.2634803000255488],['image'],1.7000013031065464e-05,46.4319167000358,46.4319167000358,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,3,3,29,,,,,,,48.98182480002288,48.98182480002288,1,[0.013017899997066706],[1.0107498000143096],49.996327200031374,49.996327200031374,50.71293340000557,0.7292290999903344,71.29629629629628,0.6981231999816373,[0.4842592592592593],[-0.43333333333333335],[1],[0],[0],[0.2523495000205003],['image'],1.4499993994832039e-05,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,4,4,34,,,,,,,52.4650660000043,52.4650660000043,1,[0.0003321000258438289],[0.9952480000210926],53.479448100028094,53.479448100028094,53.8485415999894,0.37938599998597056,92.40740740740739,0.35017380001954734,[0.5212962962962963],[-0.38981481481481484],[1],[0],[0],[0.2335301000275649],['image'],1.550000160932541e-05,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,5,5,23,,,,,,,55.579618700023275,55.579618700023275,1,[0.00037210003938525915],[0.9811370000243187],56.579525500012096,56.579525500012096,57.014992900018115,0.4336359999724664,62.96296296296299,0.41489469999214634,[0.46574074074074073],[-0.37777777777777777],[1],[0],[0],[0.21707310003694147],['image'],1.5300000086426735e-05,,,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,6,6,36,,,,,,,58.72963240003446,58.72963240003446,3,"[0.00038400001358240843, 0.6319705999922007, 0.7628850000328384]","[0.5983129999949597, 0.6983542999951169, 0.9967697000247426]",59.72952890000306,59.72952890000306,60.16501950001111,0.42928939999546856,78.70370370370372,0.41770869999891147,[0.5222222222222223],[-0.45740740740740743],[1],[0],[0],[0.2334946999908425],['image'],1.4999997802078724e-05,59.72952890000306,59.72952890000306,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,7,7,0,,,,,,,61.88445850001881,61.88445850001881,1,[0.00038189999759197235],[1.0091577999992296],62.898039899999276,62.898039899999276,63.52947579999454,0.6313969000475481,63.51851851851853,0.6155247000278905,[0.4351851851851852],[-0.41574074074074074],[1],[0],[0],[0.7355998000130057],['image'],1.4899997040629387e-05,62.898039899999276,62.898039899999276,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,8,8,41,,,,,,,65.76473559997976,65.76473559997976,1,[0.013157400011550635],[1.0134203999768943],66.76235570001882,66.76235570001882,67.39796410000417,0.6294962000101805,82.03703703703704,0.6158661999506876,"[0.4842592592592593, 0.49166666666666664]","[-0.3574074074074074, -0.4009259259259259]","[1, 1]","[0, 0]","[0, 0]","[0.25223909999476746, 0.5720612000441179]",['image'],1.3199984095990658e-05,66.76235570001882,66.76235570001882,,,VAG,001,2023-05-06_17h50.10.762,Human_uncanny,2022.2.5,60.04603128857685,
