Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.347376999998232,23.347376999998232,space,1.6381452000059653,,,,,,,,,,,,,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,0,0,76,,,,,1.270000939257443e-05,1.270000939257443e-05,26.013118500006385,26.013118500006385,27.011961399999564,27.011961399999564,0,,,-16.296296296296305,0.7628122000023723,1.550000160932541e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,1,1,0,,,,,,,30.896941500002868,30.896941500002868,31.911161900003208,31.911161900003208,1,[0.00040809999336488545],[1.0094544000021415],-69.62962962962963,0.632259799996973,1.2600008631125093e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,2,2,58,,,,,,,34.56342700000096,34.56342700000096,35.57636920000368,35.57636920000368,1,[0.4131212000065716],[1.0111923000076786],-36.48148148148148,0.8314769999997225,1.6200006939470768e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,3,3,88,,,,,,,38.48008480000135,38.48008480000135,,,1,[0.3963797999895178],[0.9943111999891698],-57.592592592592595,1.2315085000009276,1.300001167692244e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,4,4,6,,,,,,,42.713292000000365,42.713292000000365,,,4,"[0.013026700005866587, 0.16274040000280365, 0.27950000000419095, 0.4124957000021823]","[0.14632549999805633, 0.26272050000261515, 0.29617549999966286, 1.0105414999998175]",8.703703703703695,0.6000377000018489,1.300001167692244e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg,0,5,5,67,,,,,,,46.44669840000279,46.44669840000279,47.44679690001067,47.44679690001067,2,"[0.9134009000117658, 0.9465958000073442]","[0.9298751000023913, 0.9970311000070069]",-77.03703703703704,0.5472413000097731,1.4199991710484028e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,6,6,35,,,,,,,50.44648169999709,50.44648169999709,51.44615920000069,51.44615920000069,5,"[0.00040869999793358147, 0.07931420000386424, 0.5128926000033971, 0.5794076000020141, 0.8128311000036774]","[0.04599470000539441, 0.19623590000264812, 0.5626735000114422, 0.6128353000094648, 0.9964920000056736]",-8.888888888888886,0.5472520000039367,1.2999997125007212e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,7,7,30,,,,,,,54.09648500000185,54.09648500000185,55.109057399997255,55.109057399997255,4,"[0.0005425999988801777, 0.112261899994337, 0.14582579999114387, 0.37882419998641126]","[0.02888259998871945, 0.12909429999126587, 0.3457482999947388, 1.010657099992386]",-62.22222222222222,0.6320739999937359,1.4000004739500582e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,8,8,31,,,,,,,57.6128488000104,57.6128488000104,58.60914290000801,58.60914290000801,1,[0.0004324000037740916],[0.996421800009557],-100,0.5639325999945868,1.2999997125007212e-05,,,UTS,001,2023-04-16_22h21.07.917,trial uncanny,2022.2.5,60.2677212753462,
