Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,14,14,2,,,,,,,89.23074559995439,89.23074559995439,90.2310311999754,90.2310311999754,1,[0.011604300001636147],[1.013323399994988],-85.18518518518519,0.5995594000560232,1.3199984095990658e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,15,15,18,,,,,,,92.9170269999886,92.9170269999886,93.92851539998082,93.92851539998082,1,[0.0003914999542757869],[1.0101167999673635],-53.888888888888886,0.41408630000660196,1.2399978004395962e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,16,16,57,,,,,,,96.18064739997499,96.18064739997499,,,1,[0.00033760000951588154],[0.9951574999722652],-62.59259259259259,0.7180896000354551,1.2999982573091984e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c64.jpeg,matched-32-cpi-low-c64.jpeg,0,17,17,34,,,,,,,99.74712769995676,99.74712769995676,100.74520509998547,100.74520509998547,1,[0.013219700020272285],[1.0127725999918766],-50.0,0.3998111999826506,1.3299984857439995e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,18,18,60,,,,,,,102.98050780000631,102.98050780000631,103.98051269998541,103.98051269998541,1,[0.01106609997805208],[1.0132774999947287],38.888888888888886,0.3992490000091493,1.190003240481019e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c71.jpeg,matched-8-cpi-low-c71.jpeg,0,19,19,24,,,,,,,106.1136256000027,106.1136256000027,,,1,[0.00047339999582618475],[0.9947179000009783],53.14814814814815,0.5671978999744169,1.2399978004395962e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg,0,20,20,87,,,,,,,110.29996380000375,110.29996380000375,111.31345899996813,111.31345899996813,1,[0.0004687000182457268],[1.0100945999729447],23.703703703703695,0.4161339000565931,1.190003240481019e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,21,21,49,,,,,,,113.49682699999539,113.49682699999539,114.49468770000385,114.49468770000385,1,[0.0004320000298321247],[0.9970588000142016],32.40740740740739,0.535794299968984,1.4500052202492952e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,22,22,13,,,,,,,116.79676749999635,116.79676749999635,117.79475329996785,117.79475329996785,1,[0.0007104999967850745],[0.997055999992881],93.5185185185185,0.7478675000020303,1.2299977242946625e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,23,23,88,,,,,,,120.76630119996844,120.76630119996844,121.77998339995975,121.77998339995975,1,[0.0004988000146113336],[1.0102316000266],-17.962962962962962,0.21366059995489195,1.4099990949034691e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg,0,24,24,78,,,,,,,123.7965960999718,123.7965960999718,124.79449569998542,124.79449569998542,1,[0.00036479998379945755],[0.9964566999697126],44.074074074074076,1.6162104000104591,1.1599971912801266e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,25,25,16,,,,,,,128.19941259996267,128.19941259996267,129.2129875999526,129.2129875999526,1,[0.00042150000808760524],[1.0099664000445046],-72.77777777777777,0.39968500001123175,1.2399978004395962e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c65.jpeg,matched-c65.jpeg,0,26,26,5,,,,,,,131.7298971999553,131.7298971999553,,,1,[0.0003510000533424318],[0.9945485000498593],4.629629629629633,1.003098500019405,1.2399978004395962e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,27,27,33,,,,,,,135.5612738999771,135.5612738999771,136.56103339995025,136.56103339995025,1,[0.000792000035289675],[0.9968669000081718],15.18518518518519,1.5523551999940537,1.2499978765845299e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,28,28,6,,,,,,,139.94621449999977,139.94621449999977,140.9441511000041,140.9441511000041,1,[0.013022999977692962],[1.0132841999875382],16.296296296296305,0.4488955999840982,1.379998866468668e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,29,29,83,,,,,,,143.56081809999887,143.56081809999887,144.5626432999852,144.5626432999852,1,[0.00036500004353001714],[0.997028500016313],20.925925925925924,0.6834316999884322,1.4699995517730713e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c12.jpeg,matched-8-cpi-low-c12.jpeg,0,30,30,62,,,,,,,147.02978629997233,147.02978629997233,148.02737409999827,148.02737409999827,1,[0.0004031999851576984],[0.9964893999858759],14.999999999999986,0.6164933000109158,1.2399978004395962e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,31,31,61,,,,,,,150.3823252999573,150.3823252999573,151.39375489996746,151.39375489996746,1,[0.0004949000431224704],[1.0103326000389643],-28.148148148148138,0.6158330999896862,1.3299984857439995e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c76.jpeg,matched-32-cpi-low-c76.jpeg,0,32,32,42,,,,,,,153.81264039996313,153.81264039996313,154.81233509996673,154.81233509996673,1,[0.00034829997457563877],[0.996600899961777],-27.592592592592595,1.830766000028234,1.160003012046218e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
