Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,13,13,31,,,,,,,80.98493000003509,80.98493000003509,1,[0.00047480000648647547],[0.9963056000415236],-7.592592592592595,1.081366700003855,1.3100041542202234e-05,81.98500220000278,81.98500220000278,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,14,14,56,,,,,,,84.89004710002337,84.89004710002337,1,[0.0003399999695830047],[0.9936698999954388],-2.4074074074074048,0.5666865999810398,1.379998866468668e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,15,15,8,,,,,,,88.45351040002424,88.45351040002424,1,[0.013348599954042584],[1.0133350999676622],13.333333333333329,0.7803798000095412,1.3700046110898256e-05,89.45134070003405,89.45134070003405,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,16,16,14,,,,,,,92.003661499999,92.003661499999,1,[0.013773500046227127],[0.9999056000378914],77.77777777777777,0.2785952999838628,1.2999982573091984e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,17,17,4,,,,,,,95.07312230003299,95.07312230003299,1,[0.00039140001172199845],[1.009815500001423],-71.48148148148148,0.5160208999877796,1.2300035450607538e-05,96.08450759999687,96.08450759999687,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,18,18,44,,,,,,,98.40327170002274,98.40327170002274,1,[0.00043920002644881606],[0.9635161000187509],67.40740740740739,0.31511429999955,1.2999982573091984e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,19,19,52,,,,,,,101.47298319998663,101.47298319998663,1,[0.00039790000300854445],[1.0101112999836914],25.37037037037038,0.5976435000193305,2.2499996703118086e-05,102.48458390001906,102.48458390001906,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c12.jpeg,matched-c12.jpeg,0,20,20,47,,,,,,,104.88639110000804,104.88639110000804,2,"[0.0003845000173896551, 0.8137624000082724]","[0.7802565000019968, 0.9784655999974348]",22.59259259259258,0.6300206000450999,1.2699980288743973e-05,,,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c69.jpeg,matched-32-cpi-low-c69.jpeg,0,21,21,38,,,,,,,108.7697451999993,108.7697451999993,1,[0.013019199948757887],[1.0130634999950416],85.74074074074073,0.8136509000323713,1.4399993233382702e-05,109.76966210000683,109.76966210000683,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,22,22,57,,,,,,,112.80300080002053,112.80300080002053,1,[0.013944500009529293],[1.0133358999737538],17.59259259259261,0.5981205999851227,1.2499978765845299e-05,113.80270340002608,113.80270340002608,,,VAG,001,2023-05-06_18h07.25.236,trial uncanny,2022.2.5,60.034784153221274,
