Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c72.jpeg,matched-32-cpi-low-c72.jpeg,0,14,14,40,,,,,,,130.66509940009564,130.66509940009564,1,[0.0069003000389784575],[1.0070899999700487],36.11111111111111,0.6001500999554992,1.4800112694501877e-05,131.6651060001459,131.6651060001459,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,15,15,49,,,,,,,134.2655394000467,134.2655394000467,1,[0.010229000123217702],[1.0099316001869738],7.500000000000001,2.330561200156808,1.3800105080008507e-05,135.26737360004336,135.26737360004336,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c72.jpeg,matched-8-cpi-low-c72.jpeg,0,16,16,25,,,,,,,139.534343900159,139.534343900159,1,[0.0004891999997198582],[0.9925586001481861],45.55555555555556,0.6153796000871807,1.2600095942616463e-05,140.53183310013264,140.53183310013264,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,17,17,2,,,,,,,142.98183570010588,142.98183570010588,1,[0.00040760007686913013],[0.990857700118795],31.75925925925926,0.4661361000034958,1.4199875295162201e-05,143.98179150000215,143.98179150000215,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,18,18,75,,,,,,,146.5981062001083,146.5981062001083,1,[0.0003939999733120203],[0.991967799840495],25.74074074074074,0.7019859999418259,1.3600103557109833e-05,147.5980740999803,147.5980740999803,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c65.jpeg,matched-c65.jpeg,0,19,19,5,,,,,,,150.18374710017815,150.18374710017815,1,[0.0006983000785112381],[0.989827300189063],44.25925925925926,0.7491723999846727,2.4099834263324738e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c48.jpeg,matched-8-cpi-low-c48.jpeg,0,20,20,15,,,,,,,154.13170270016417,154.13170270016417,1,[0.00045579997822642326],[0.9913933998905122],11.018518518518515,0.49975710012950003,1.5700003132224083e-05,155.13403640012257,155.13403640012257,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg,0,21,21,74,,,,,,,157.51722250017338,157.51722250017338,1,[0.011805800022557378],[1.0118266001809388],5.185185185185187,0.9995681999716908,1.3599870726466179e-05,158.51474960008636,158.51474960008636,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,22,22,18,,,,,,,161.46450390014797,161.46450390014797,1,[0.01208260003477335],[1.0115278998855501],14.907407407407408,0.8026805000845343,1.559988595545292e-05,162.46444949996658,162.46444949996658,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,23,23,73,,,,,,,165.3669187000487,165.3669187000487,1,[0.0006613999139517546],[0.9918213000055403],2.592592592592591,0.6111073999200016,1.2599863111972809e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,24,24,72,,,,,,,168.9667917001061,168.9667917001061,1,[0.000461700139567256],[1.0122381001710892],14.629629629629632,0.7812457999680191,1.2799864634871483e-05,169.98341920017265,169.98341920017265,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,25,25,61,,,,,,,172.6336565001402,172.6336565001402,1,[0.008498799987137318],[0.9937007001135498],6.018518518518517,0.6468158999923617,1.500011421740055e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,26,26,45,,,,,,,176.2665324001573,176.2665324001573,1,[0.007992899976670742],[1.0081007999833673],1.0185185185185186,0.8649923000484705,1.4299992471933365e-05,,,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
