Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,Human_image.stopped,roi.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.982708699986688,27.982708699986688,space,3.508849599995301,,,,,,,,,,,,,,,,,,,,,,,,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,0,0,0,,,,,1.3100012438371778e-05,1.3100012438371778e-05,32.51365209999494,32.51365209999494,0,,,33.527105199988,33.527105199988,43.5745343999879,10.062692000006791,34.25925925925927,10.031174699994153,[0.5842592592592593],[-0.42685185185185187],[1],[0],[0],[1.285657699991134],['image'],1.720000000204891e-05,,,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,1,1,17,,,,,,,46.36009249999188,46.36009249999188,1,[0.008893199992598966],[0.7420462000009138],47.35599969999748,47.35599969999748,51.00770759998704,3.6453737999981968,19.814814814814824,3.6339979999902425,[0.5518518518518518],[-0.4212962962962963],[1],[0],[0],[0.7668067999911727],['image'],1.440000778529793e-05,47.35599969999748,47.35599969999748,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,2,2,11,,,,,,,53.257681699993555,53.257681699993555,1,[0.000774099986301735],[0.8925706999871181],54.260315899999114,54.260315899999114,55.07423509999353,0.7983542000001762,-28.888888888888886,0.7975598000048194,[0.6231481481481481],[-0.4287037037037037],[1],[0],[0],[0.6655440999893472],['image'],1.4999997802078724e-05,54.260315899999114,54.260315899999114,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,3,3,35,,,,,,,57.2232670999947,57.2232670999947,2,"[0.000367900007404387, 0.7431865000107791]","[0.7259525000117719, 0.9259679000097094]",58.22644109999237,58.22644109999237,59.174102699995274,0.9323944000061601,3.148148148148138,2.465801199999987,"[0.01574074074074074, 0.49166666666666664]","[-0.05555555555555555, -0.40370370370370373]","[1, 1]","[0, 0]","[0, 0]","[1.4692279000009876, 2.700086900003953]",['image'],1.3800003216601908e-05,58.22644109999237,58.22644109999237,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_18_Caucasian_female_neutral_frontal.jpg,0,4,4,33,,,,,,,63.35687959998904,63.35687959998904,2,"[0.325778900005389, 0.3763510999997379]","[0.34269010000571143, 0.9925336000014795]",64.35949499999697,64.35949499999697,73.35939379999763,8.983538400003454,53.703703703703724,10.714125600003172,"[0.26851851851851855, 0.6111111111111112]","[-0.10740740740740741, -0.44722222222222224]","[1, 1]","[0, 0]","[0, 0]","[1.631453900001361, 2.284267099996214]",['image'],1.4600009308196604e-05,64.35949499999697,64.35949499999697,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,5,5,28,,,,,,,77.14262799998687,77.14262799998687,1,[0.009352400011266582],[1.0059478000039235],78.15532369998982,78.15532369998982,79.37203709999449,1.2286236000072677,-30.740740740740733,2.2191864999913378,"[-0.1537037037037037, 0.6166666666666667]","[-0.07685185185185185, -0.4444444444444444]","[1, 1]","[0, 0]","[0, 0]","[0.9192030999984127, 1.5153775999933714]",['image'],1.5300000086426735e-05,,,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,6,6,44,,,,,,,82.37202379999508,82.37202379999508,1,[0.0004133999900659546],[0.9953441999969073],83.37572250000085,83.37572250000085,84.65705149999121,1.2663385000050766,-39.62962962962963,1.2628034999943338,[0.537962962962963],[-0.41203703703703703],[1],[0],[0],[0.7003842000121949],['image'],1.5399986295960844e-05,83.37572250000085,83.37572250000085,MAA,001,2023-04-16_21h32.52.782,Human_uncanny,2022.2.5,60.32938638635287,
