Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c67.jpeg,matched-c67.jpeg,0,13,13,7,,,,,,,76.45488689999911,76.45488689999911,77.4536408999993,77.4536408999993,1,[0.000334399999701418],[0.9919703000050504],41.2037037037037,0.6146739999967394,1.3700002455152571e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c12.jpeg,matched-8-cpi-low-c12.jpeg,0,14,14,62,,,,,,,79.99074769999424,79.99074769999424,80.9903828999959,80.9903828999959,1,[0.0007719000132055953],[0.9626450000068871],1.2962962962962954,0.6806686000054469,1.2499993317760527e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,15,15,59,,,,,,,83.60311080000247,83.60311080000247,84.60493829999177,84.60493829999177,1,[0.00037989999691490084],[0.9393275999900652],5.648148148148147,0.632560400001239,1.2199991033412516e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,16,16,16,,,,,,,87.18721160000132,87.18721160000132,88.18824139999924,88.18824139999924,1,[0.00036689999978989363],[0.9899905999918701],38.98148148148148,0.4983165000012377,1.270000939257443e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,17,17,2,,,,,,,90.70589119999204,90.70589119999204,91.72168729999976,91.72168729999976,1,[0.000559599997359328],[1.004917199999909],44.81481481481481,0.38461710000410676,1.2400007108226418e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c64.jpeg,matched-32-cpi-low-c64.jpeg,0,18,18,34,,,,,,,94.33770399999048,94.33770399999048,95.33811769999738,95.33811769999738,1,[0.0004894000012427568],[0.9908181999926455],43.24074074074074,0.46408819999487605,1.4300007023848593e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,19,19,8,,,,,,,97.73725920000288,97.73725920000288,98.73799189999409,98.73799189999409,1,[0.0004732000088552013],[0.9904176000127336],46.75925925925926,0.4330282000009902,1.3199998647905886e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,20,20,89,,,,,,,101.13747960000183,101.13747960000183,102.13640950000263,102.13640950000263,1,[0.0004486999969230965],[0.9898759999923641],5.277777777777776,0.8478316999971867,1.3500000932253897e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,21,21,31,,,,,,,105.02110009999888,105.02110009999888,106.02103760000318,106.02103760000318,1,[0.0004442999925231561],[0.9913822999951662],30.648148148148145,0.4798679999948945,1.3199998647905886e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c35.jpeg,matched-c35.jpeg,0,22,22,54,,,,,,,108.43772159999935,108.43772159999935,109.43981589999748,109.43981589999748,1,[0.00036079999699722975],[0.958352300003753],0.2777777777777768,0.7308094000036363,1.340000017080456e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
