Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,13,13,20,,,,,,,140.52870519999124,140.52870519999124,1,[0.0006189999985508621],[0.9927371999947354],-17.592592592592595,0.682601300009992,1.2599994079209864e-05,141.52892849998898,141.52892849998898,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,14,14,56,,,,,,,144.1953167999891,144.1953167999891,2,"[0.00041280000004917383, 0.9588325999939116]","[0.9085085999977309, 0.9904740999918431]",35.925925925925924,0.6177588999998989,1.3700002455152571e-05,145.19719110000005,145.19719110000005,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,15,15,75,,,,,,,147.7469623999932,147.7469623999932,3,"[0.0005514000076800585, 0.07558430000790395, 0.8420598000084283]","[0.025395000004209578, 0.6921741000114707, 0.977862500003539]",-47.59259259259259,0.9814052000001539,1.2500007869675756e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg,0,16,16,78,,,,,,,151.8156076999876,151.8156076999876,3,"[0.0012322999973548576, 0.9047818999970332, 1.0063970999908634]","[0.8883741999889025, 0.9729528000025311, 1.0063997999968706]",-90.0,0.499569599996903,1.2999997125007212e-05,152.8285870999971,152.8285870999971,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,17,17,17,,,,,,,155.33014900000126,155.33014900000126,2,"[0.0070173999993130565, 0.04207470000255853]","[0.025391999995918013, 1.0069912000035401]",-89.81481481481481,1.0667327999981353,1.5399986295960844e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,18,18,31,,,,,,,159.34515429999738,159.34515429999738,5,"[0.00661240000044927, 0.3580114000069443, 0.558579100004863, 0.6082585000112886, 0.6752681000070879]","[0.34149839999736287, 0.4579227000067476, 0.5915995000104886, 0.6246362000092631, 1.0065586999990046]",-55.74074074074075,0.617761800007429,1.2400007108226418e-05,160.34502219999558,160.34502219999558,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,19,19,51,,,,,,,163.01176979999582,163.01176979999582,1,[0.0003870000073220581],[0.9923447000037413],50.925925925925924,0.7998341000056826,1.4299992471933365e-05,164.01147969999874,164.01147969999874,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,20,20,43,,,,,,,166.92985639999097,166.92985639999097,3,"[0.0003932000108761713, 0.04231080001045484, 0.3939857000077609]","[0.010668200004147366, 0.17746220000844914, 0.9795409000071231]",17.777777777777786,0.8962934000010137,1.580000389367342e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,21,21,80,,,,,,,170.79762059998757,170.79762059998757,1,[0.0007273999945027754],[1.0053518999920925],4.8148148148148096,1.1477054999995744,1.3999990187585354e-05,171.8132246999885,171.8132246999885,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c69.jpeg,matched-32-cpi-low-c69.jpeg,0,22,22,38,,,,,,,175.0945878999919,175.0945878999919,1,[0.0008870000019669533],[0.9920616000017617],13.148148148148152,1.1001798000070266,1.3199998647905886e-05,176.09634319999896,176.09634319999896,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,23,23,4,,,,,,,179.17964019998908,179.17964019998908,1,[0.0004219000111334026],[0.992186400006176],-19.074074074074076,0.4334734000003664,1.410000550094992e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,24,24,82,,,,,,,182.52978079998866,182.52978079998866,1,[0.0006715000054100528],[0.992530200004694],-47.22222222222222,1.1643408999952953,1.410000550094992e-05,183.5296287999954,183.5296287999954,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
